"Time","physicsRun.physics.frame_a.r_0[1]","physicsRun.physics.frame_a.r_0[2]","physicsRun.physics.frame_a.r_0[3]","physicsRun.physics.frame_a.R.w[1]","physicsRun.physics.frame_a.R.w[2]","physicsRun.physics.frame_a.R.w[3]"
0,0,0,1,0,0,0
0.01,2.7426813137990156e-23,4.4116889508277126e-22,0.99950966749984216,-1.906037484614536e-18,2.1094757224492239e-19,-1.148542540032151e-20
0.01,2.7426813137990156e-23,4.4116889508277126e-22,0.99950966749984216,-1.906037484614536e-18,2.1094757224492239e-19,-1.148542540032151e-20
0.02,1.0968066105504569e-22,1.7647206284671515e-21,0.99803866999965407,-3.8122098545390613e-18,4.2189498681982758e-19,-2.2968173139073166e-20
0.02,1.0968066105504569e-22,1.7647206284671515e-21,0.99803866999965407,-3.8122098545390613e-18,4.2189498681982758e-19,-2.2968173139073166e-20
0.025000000000000001,1.7137434533344188e-22,2.7574070602736244e-21,0.99693542187465056,-4.7653064501049216e-18,5.2736868143284271e-19,-2.8714991274891025e-20
0.029999999999999999,2.4677338275527022e-22,3.9706845868621753e-21,0.99558700749964846,-5.7183546322911466e-18,6.3284243333816063e-19,-3.445493095078593e-20
0.029999999999999999,2.4677338275527022e-22,3.9706845868621753e-21,0.99558700749964846,-5.7183546322911466e-18,6.3284243333816063e-19,-3.445493095078593e-20
0.040000000000000001,4.3868896488693344e-22,7.0590037977607761e-21,0.99215467999938733,-7.6243440661008759e-18,8.4379006332344543e-19,-4.5923719898469661e-20
0.040000000000000001,4.3868896488693344e-22,7.0590037977607761e-21,0.99215467999938733,-7.6243440661008759e-18,8.4379006332344543e-19,-4.5923719898469661e-20
0.050000000000000003,6.8545330704603723e-22,1.102969758268153e-20,0.98774168749908897,-9.530556217321743e-18,1.054737428794292e-18,-5.7434788361234329e-20
0.050000000000000003,6.8545330704603723e-22,1.102969758268153e-20,0.98774168749908897,-9.530556217321743e-18,1.054737428794292e-18,-5.7434788361234329e-20
0.059999999999999998,9.8709339606987492e-22,1.5882853742785789e-20,0.98234802999874915,-1.1436783726892718e-17,1.2656847782559606e-18,-6.8923816572705111e-20
0.059999999999999998,9.8709339606987492e-22,1.5882853742785789e-20,0.98234802999874915,-1.1436783726892718e-17,1.2656847782559606e-18,-6.8923816572705111e-20
0.070000000000000007,1.3435860188451903e-21,2.1618429521611142e-20,0.97597370749836543,-1.3342858622781753e-17,1.4766323054849585e-18,-8.0422872237506032e-20
0.070000000000000007,1.3435860188451903e-21,2.1618429521611142e-20,0.97597370749836543,-1.3342858622781753e-17,1.4766323054849585e-18,-8.0422872237506032e-20
0.075000000000000011,1.5424043305583438e-21,2.4817093720850327e-20,0.97241879687297483,-1.4295864861311367e-17,1.5821061065127216e-18,-8.6162596632388353e-20
0.080000000000000002,1.7549315315808601e-21,2.8236350803518808e-20,0.96861871999793614,-1.524892143236155e-17,1.6875798483568675e-18,-9.1905224638603037e-20
0.080000000000000002,1.7549315315808601e-21,2.8236350803518808e-20,0.96861871999793614,-1.524892143236155e-17,1.6875798483568675e-18,-9.1905224638603037e-20
0.089999999999999997,2.2233089089254497e-21,3.5736670798942076e-20,0.96028306749745995,-1.7155087615777163e-17,1.8985272678628887e-18,-1.034138222521969e-19
0.089999999999999997,2.2233089089254497e-21,3.5736670798942076e-20,0.96028306749745995,-1.7155087615777163e-17,1.8985272678628887e-18,-1.034138222521969e-19
0.10000000000000001,2.7477980274146515e-21,4.411936485875747e-20,0.95096674999693454,-1.906110223717321e-17,2.1094748673160787e-18,-1.148942996434513e-19
0.10000000000000001,2.7477980274146515e-21,4.411936485875747e-20,0.95096674999693454,-1.906110223717321e-17,2.1094748673160787e-18,-1.148942996434513e-19
0.11,3.3270146834416671e-21,5.3384416981477014e-20,0.94066976749635878,-2.0967245122136023e-17,2.3204223157948093e-18,-1.2638391468014773e-19
0.11,3.3270146834416671e-21,5.3384416981477014e-20,0.94066976749635878,-2.0967245122136023e-17,2.3204223157948093e-18,-1.2638391468014773e-19
0.12,3.9616300138498796e-21,6.3531875033711205e-20,0.92939211999573079,-2.2873406177609241e-17,2.5313697428235594e-18,-1.3787551895914232e-19
0.12,3.9616300138498796e-21,6.3531875033711205e-20,0.92939211999573079,-2.2873406177609241e-17,2.5313697428235594e-18,-1.3787551895914232e-19
0.125,4.2998924549414205e-21,6.8936510642738871e-20,0.92338554687011232,-2.3826455991355917e-17,2.6368434927903788e-18,-1.436157767179947e-19
0.13,4.6518137010168557e-21,7.4561745203756139e-20,0.91713380749504969,-2.477954764207878e-17,2.7423171941770605e-18,-1.4935158153227897e-19
0.13,4.6518137010168557e-21,7.4561745203756139e-20,0.91713380749504969,-2.477954764207878e-17,2.7423171941770605e-18,-1.4935158153227897e-19
0.14000000000000001,5.4011422940892098e-21,8.647401700064636e-20,0.90389482999431459,-2.6685685114119274e-17,2.9532646496180582e-18,-1.60834202404411e-19
0.14000000000000001,5.4011422940892098e-21,8.647401700064636e-20,0.90389482999431459,-2.6685685114119274e-17,2.9532646496180582e-18,-1.60834202404411e-19
0.15000000000000002,6.2138107237991353e-21,9.9268677435660376e-20,0.88967518749352426,-2.8591727487416815e-17,3.1642122160532887e-18,-1.723205956355267e-19
0.15000000000000002,6.2138107237991353e-21,9.9268677435660376e-20,0.88967518749352426,-2.8591727487416815e-17,3.1642122160532887e-18,-1.723205956355267e-19
0.16,7.0834629977992838e-21,1.1294569014433466e-19,0.87447487999267903,-3.0497835945164946e-17,3.3751597040604698e-18,-1.8381888124562455e-19
