"Time","physicsRun.physics.frame_a.r_0[1]","physicsRun.physics.frame_a.r_0[2]","physicsRun.physics.frame_a.r_0[3]","physicsRun.physics.frame_a.R.w[1]","physicsRun.physics.frame_a.R.w[2]","physicsRun.physics.frame_a.R.w[3]"
0,0,0,1,0,0,0
0.01,-3.4418769429066851e-20,-8.8963173463485204e-22,0.99950966749984216,2.6951206112246113e-18,-1.091266393594356e-16,5.9997345747082006e-19
0.01,-3.4418769429066851e-20,-8.8963173463485204e-22,0.99950966749984216,2.6951206112246113e-18,-1.091266393594356e-16,5.9997345747082006e-19
0.02,-1.3768268892339685e-19,-3.5596877246768058e-21,0.99803866999965407,5.3913388252984651e-18,-2.1825330166127361e-16,1.200092741283272e-18
0.02,-1.3768268892339685e-19,-3.5596877246768058e-21,0.99803866999965407,5.3913388252984651e-18,-2.1825330166127361e-16,1.200092741283272e-18
0.025000000000000001,-2.1513348001310262e-19,-5.5624361192621335e-21,0.99693542187444795,6.7395900512292676e-18,-2.7281662547078108e-16,1.500197618129237e-18
0.029999999999999999,-3.098053356850184e-19,-8.0108186562920391e-21,0.9955870074994323,8.0901938431938825e-18,-3.2737982775681587e-16,1.8010512917851651e-18
0.029999999999999999,-3.098053356850184e-19,-8.0108186562920391e-21,0.9955870074994323,8.0901938431938825e-18,-3.2737982775681587e-16,1.8010512917851651e-18
0.040000000000000001,-5.5082293122316961e-19,-1.4245690752365876e-20,0.99215467999917384,1.0792495185480374e-17,-4.3650617585013204e-16,2.4031067703263518e-18
0.040000000000000001,-5.5082293122316961e-19,-1.4245690752365876e-20,0.99215467999917384,1.0792495185480374e-17,-4.3650617585013204e-16,2.4031067703263518e-18
0.050000000000000003,-8.6072893121964559e-19,-2.2263063669830165e-20,0.98774168749887592,1.3488490737891626e-17,-5.4563284975602803e-16,3.0031274364319403e-18
0.050000000000000003,-8.6072893121964559e-19,-2.2263063669830165e-20,0.98774168749887592,1.3488490737891626e-17,-5.4563284975602803e-16,3.0031274364319403e-18
0.059999999999999998,-1.2395060961272646e-18,-3.206250395490092e-20,0.98234802999853976,1.6191276252534699e-17,-6.5475917845802371e-16,3.6038762139019378e-18
0.059999999999999998,-1.2395060961272646e-18,-3.206250395490092e-20,0.98234802999853976,1.6191276252534699e-17,-6.5475917845802371e-16,3.6038762139019378e-18
0.070000000000000007,-1.6871564264475329e-18,-4.3647656764570299e-20,0.97597370749817369,1.8897652039978441e-17,-7.6388532451194056e-16,4.2050390059143581e-18
0.070000000000000007,-1.6871564264475329e-18,-4.3647656764570299e-20,0.97597370749817369,1.8897652039978441e-17,-7.6388532451194056e-16,4.2050390059143581e-18
0.075000000000000011,-1.9368126828587671e-18,-5.0109932716227583e-20,0.9724187968727831,2.0244702438838176e-17,-8.1844870840066355e-16,4.5052660476069558e-18
0.080000000000000002,-2.203694087713048e-18,-5.7018366844308135e-20,0.96861871999776106,2.1598886321697123e-17,-8.7301172942022574e-16,4.8063067355854418e-18
0.080000000000000002,-2.203694087713048e-18,-5.7018366844308135e-20,0.96861871999776106,2.1598886321697123e-17,-8.7301172942022574e-16,4.8063067355854418e-18
0.089999999999999997,-2.7891182631324475e-18,-7.2172301099045666e-20,0.96028306749730108,2.4293073406389493e-17,-9.8213849068584346e-16,5.4073282307326881e-18
0.089999999999999997,-2.7891182631324475e-18,-7.2172301099045666e-20,0.96028306749730108,2.4293073406389493e-17,-9.8213849068584346e-16,5.4073282307326881e-18
0.10000000000000001,-3.4433754946882214e-18,-8.9100509896718661e-20,0.95096674999679176,2.697615736204828e-17,-1.0912658195510634e-15,6.0063420682402736e-18
0.10000000000000001,-3.4433754946882214e-18,-8.9100509896718661e-20,0.95096674999679176,2.697615736204828e-17,-1.0912658195510634e-15,6.0063420682402736e-18
0.11,-4.166479672189135e-18,-1.0780902091386166e-19,0.94066976749623232,2.9684583888565985e-17,-1.200391857807047e-15,6.6086475883991224e-18
0.11,-4.166479672189135e-18,-1.0780902091386166e-19,0.94066976749623232,2.9684583888565985e-17,-1.200391857807047e-15,6.6086475883991224e-18
0.12,-4.9584874176596557e-18,-1.2830609156683265e-19,0.92939211999562088,3.2396860741169141e-17,-1.3095176996597841e-15,7.2115295649831666e-18
0.12,-4.9584874176596557e-18,-1.2830609156683265e-19,0.92939211999562088,3.2396860741169141e-17,-1.3095176996597841e-15,7.2115295649831666e-18
0.125,-5.3803490648097557e-18,-1.3922792398429299e-19,0.9233855468700024,3.3756045589181237e-17,-1.3640804676471498e-15,7.5127972996072476e-18
0.13,-5.8194439547650441e-18,-1.5059843812225887e-19,0.91713380749495632,3.5115987585193945e-17,-1.4186431953582854e-15,7.8146096269488671e-18
0.13,-5.8194439547650441e-18,-1.5059843812225887e-19,0.91713380749495632,3.5115987585193945e-17,-1.4186431953582854e-15,7.8146096269488671e-18
0.14000000000000001,-6.7493164317546374e-18,-1.7468142809554549e-19,0.90389482999423865,3.7821121863900214e-17,-1.5277694030226133e-15,8.416034911444606e-18
0.14000000000000001,-6.7493164317546374e-18,-1.7468142809554549e-19,0.90389482999423865,3.7821121863900214e-17,-1.5277694030226133e-15,8.416034911444606e-18
0.15000000000000002,-7.7480593434343141e-18,-2.00546916848415e-19,0.88967518749344832,4.0512607310200735e-17,-1.6368963065419285e-15,9.0154869263142898e-18
0.15000000000000002,-7.7480593434343141e-18,-2.00546916848415e-19,0.88967518749344832,4.0512607310200735e-17,-1.6368963065419285e-15,9.0154869263142898e-18
