"Time","ur10e_robotRun.ur10e_robot.tool0.frame_a.r_0[1]","ur10e_robotRun.ur10e_robot.tool0.frame_a.r_0[2]","ur10e_robotRun.ur10e_robot.tool0.frame_a.r_0[3]","ur10e_robotRun.ur10e_robot.tool0.frame_a.R.w[1]","ur10e_robotRun.ur10e_robot.tool0.frame_a.R.w[2]","ur10e_robotRun.ur10e_robot.tool0.frame_a.R.w[3]"
0,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.01,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.02,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.025000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.029999999999999999,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.040000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.050000000000000003,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.059999999999999998,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.070000000000000007,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.075000000000000011,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.080000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.089999999999999997,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.10000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.11,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.12,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.125,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.13,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.14000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.15000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.16,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.17000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.17500000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.17999999999999999,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.19,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.20000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.20999999999999999,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.22,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.22500000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.23000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.23999999999999999,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.25,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.26000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.27000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.27500000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.28000000000000003,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.28999999999999998,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.30000000000000004,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.31,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.32000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.32500000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.33000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.34000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.35000000000000003,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.35999999999999999,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.37,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.375,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.38,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.39000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.40000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.41000000000000003,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.41999999999999998,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.42500000000000004,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.42999999999999999,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.44,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.45000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.46000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.47000000000000003,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.47500000000000003,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.47999999999999998,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.48999999999999999,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.5,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.51000000000000001,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.52000000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.52500000000000002,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.53000000000000003,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.54000000000000004,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.55000000000000004,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.56000000000000005,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.57000000000000006,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
0.57500000000000007,1.18425,0.29069999995083656,0.060849999940376431,0,0,0
